1927/28 (1st), 7th Heaven, Frank Borzage (Dramatic Picture), 1
1927/28 (1st), Sorrell and Son, Herbert Brenon (Dramatic Picture), 0
1927/28 (1st), The Crowd, King Vidor (Dramatic Picture), 0
1927/28 (1st), Two Arabian Knights, Lewis Milestone (Comedy Picture), 1
1927/28 (1st), Speedy, Ted Wilde (Comedy Picture), 0
1928/1929(2nd)[note 1], The Divine Lady, Frank Lloyd, 1
1928/1929(2nd)[note 1], Madame X, Lionel Barrymore, 0
1928/1929(2nd)[note 1], The Broadway Melody, Harry Beaumont, 0
1928/1929(2nd)[note 1], In Old Arizona, Irving Cummings, 0
1928/1929(2nd)[note 1], Drag, Frank Lloyd, 0
1928/1929(2nd)[note 1], Weary River, Frank Lloyd, 0
1928/1929(2nd)[note 1], The Patriot, Ernst Lubitsch, 0
1929/1930(3rd), All Quiet on the Western Front, Lewis Milestone, 1
1929/1930(3rd), Anna Christie, Clarence Brown, 0
1929/1930(3rd), Romance, Clarence Brown, 0
1929/1930(3rd), The Divorcee, Robert Z. Leonard, 0
1929/1930(3rd), The Love Parade, Ernst Lubitsch, 0
1929/1930(3rd), Hallelujah!, King Vidor, 0
1930/1931(4th), Skippy, Norman Taurog, 1
1930/1931(4th), A Free Soul, Clarence Brown, 0
1930/1931(4th), The Front Page, Lewis Milestone, 0
1930/1931(4th), Cimarron, Wesley Ruggles, 0
1930/1931(4th), Morocco, Josef von Sternberg, 0
1931/1932(5th), Bad Girl, Frank Borzage, 1
1931/1932(5th), The Champ, King Vidor, 0
1931/1932(5th), Shanghai Express, Josef von Sternberg, 0
1932/1933(6th), Cavalcade, Frank Lloyd, 1
1932/1933(6th), Lady for a Day, Frank Capra, 0
1932/1933(6th), Little Women, George Cukor, 0
1934(7th), It Happened One Night, Frank Capra, 1
1934(7th), One Night of Love, Victor Schertzinger, 0
1934(7th), The Thin Man, W. S. Van Dyke, 0
1935(8th), The Informer, John Ford, 1
1935(8th), The Lives of a Bengal Lancer, Henry Hathaway, 0
1935(8th), Mutiny on the Bounty, Frank Lloyd, 0
1936(9th), Mr. Deeds Goes to Town, Frank Capra, 1
1936(9th), My Man Godfrey, Gregory La Cava, 0
1936(9th), The Great Ziegfeld, Robert Z. Leonard, 0
1936(9th), San Francisco, W. S. Van Dyke, 0
1936(9th), Dodsworth, William Wyler, 0
1937(10th), The Awful Truth, Leo McCarey, 1
1937(10th), The Life of Emile Zola, William Dieterle, 0
1937(10th), The Good Earth, Sidney Franklin, 0
1937(10th), Stage Door, Gregory La Cava, 0
1937(10th), A Star Is Born, William A. Wellman, 0
1938(11th), You Can't Take It with You, Frank Capra, 1
1938(11th), Angels with Dirty Faces, Michael Curtiz, 0
1938(11th), Four Daughters, Michael Curtiz, 0
1938(11th), Boys Town, Norman Taurog, 0
1938(11th), The Citadel, King Vidor, 0
1939(12th), Gone with the Wind, Victor Fleming, 1
1939(12th), Mr. Smith Goes to Washington, Frank Capra, 0
1939(12th), Stagecoach, John Ford, 0
1939(12th), Goodbye, Mr. Chips, Sam Wood, 0
1939(12th), Wuthering Heights, William Wyler, 0
1940(13th), The Grapes of Wrath, John Ford, 1
1940(13th), The Philadelphia Story, George Cukor, 0
1940(13th), Rebecca, Alfred Hitchcock, 0
1940(13th), Kitty Foyle, Sam Wood, 0
1940(13th), The Letter, William Wyler, 0
1941(14th), How Green Was My Valley, John Ford, 1
1941(14th), Here Comes Mr. Jordan, Alexander Hall, 0
1941(14th), Sergeant York, Howard Hawks, 0
1941(14th), Citizen Kane, Orson Welles, 0
1941(14th), The Little Foxes, William Wyler, 0
1942(15th), Mrs. Miniver, William Wyler, 1
1942(15th), Yankee Doodle Dandy, Michael Curtiz, 0
1942(15th), Wake Island, John Farrow, 0
1942(15th), Random Harvest, Mervyn LeRoy, 0
1942(15th), Kings Row, Sam Wood, 0
1943(16th), Casablanca, Michael Curtiz, 1
1943(16th), The Human Comedy, Clarence Brown, 0
1943(16th), The Song of Bernadette, Henry King, 0
1943(16th), Heaven Can Wait, Ernst Lubitsch, 0
1943(16th), The More the Merrier, George Stevens, 0
1944(17th), Going My Way, Leo McCarey, 1
1944(17th), Lifeboat, Alfred Hitchcock, 0
1944(17th), Wilson, Henry King, 0
1944(17th), Laura, Otto Preminger, 0
1944(17th), Double Indemnity, Billy Wilder, 0
1945(18th), The Lost Weekend, Billy Wilder, 1
1945(18th), National Velvet, Clarence Brown, 0
1945(18th), Spellbound, Alfred Hitchcock, 0
1945(18th), The Bells of St. Mary's, Leo McCarey, 0
1945(18th), The Southerner, Jean Renoir, 0
1946(19th), The Best Years of Our Lives, William Wyler, 1
1946(19th), The Yearling, Clarence Brown, 0
1946(19th), It's a Wonderful Life, Frank Capra, 0
1946(19th), Brief Encounter, David Lean, 0
1946(19th), The Killers, Robert Siodmak, 0
1947(20th), Gentleman's Agreement, Elia Kazan, 1
1947(20th), A Double Life, George Cukor, 0
1947(20th), Crossfire, Edward Dmytryk, 0
1947(20th), The Bishop's Wife, Henry Koster, 0
1947(20th), Great Expectations, David Lean, 0
1948(21st), The Treasure of the Sierra Madre, John Huston, 1
1948(21st), The Snake Pit, Anatole Litvak, 0
1948(21st), Johnny Belinda, Jean Negulesco, 0
1948(21st), Hamlet, Laurence Olivier, 0
1948(21st), The Search, Fred Zinnemann, 0
1949(22nd), A Letter to Three Wives, Joseph L. Mankiewicz, 1
1949(22nd), The Fallen Idol, Carol Reed, 0
1949(22nd), All the King's Men, Robert Rossen, 0
1949(22nd), Battleground, William A. Wellman, 0
1949(22nd), The Heiress, William Wyler, 0
1950(23rd), All About Eve, Joseph L. Mankiewicz, 1
1950(23rd), Born Yesterday, George Cukor, 0
1950(23rd), The Asphalt Jungle, John Huston, 0
1950(23rd), The Third Man, Carol Reed, 0
1950(23rd), Sunset Boulevard, Billy Wilder, 0
1951(24th), A Place in the Sun, George Stevens, 1
1951(24th), The African Queen, John Huston, 0
1951(24th), A Streetcar Named Desire, Elia Kazan, 0
1951(24th), An American in Paris, Vincente Minnelli, 0
1951(24th), Detective Story, William Wyler, 0
1952(25th), The Quiet Man, John Ford, 1
1952(25th), The Greatest Show on Earth, Cecil B. DeMille, 0
1952(25th), Moulin Rouge, John Huston, 0
1952(25th), 5 Fingers, Joseph L. Mankiewicz, 0
1952(25th), High Noon, Fred Zinnemann, 0
1953(26th), From Here to Eternity, Fred Zinnemann, 1
1953(26th), Shane, George Stevens, 0
1953(26th), Lili, Charles Walters, 0
1953(26th), Stalag 17, Billy Wilder, 0
1953(26th), Roman Holiday, William Wyler, 0
1954(27th), On the Waterfront, Elia Kazan, 1
1954(27th), Rear Window, Alfred Hitchcock, 0
1954(27th), The Country Girl, George Seaton, 0
1954(27th), The High and the Mighty, William A. Wellman, 0
1954(27th), Sabrina, Billy Wilder, 0
1955(28th), Marty, Delbert Mann, 1
1955(28th), East of Eden, Elia Kazan, 0
1955(28th), Summertime, David Lean, 0
1955(28th), Picnic, Joshua Logan, 0
1955(28th), Bad Day at Black Rock, John Sturges, 0
1956(29th), Giant, George Stevens, 1
1956(29th), Around the World in 80 Days, Michael Anderson, 0
1956(29th), The King and I, Walter Lang, 0
1956(29th), War and Peace, King Vidor, 0
1956(29th), Friendly Persuasion, William Wyler, 0
1957(30th), The Bridge on the River Kwai, David Lean, 1
1957(30th), Sayonara, Joshua Logan, 0
1957(30th), 12 Angry Men, Sidney Lumet, 0
1957(30th), Peyton Place, Mark Robson, 0
1957(30th), Witness for the Prosecution, Billy Wilder, 0
1958(31st), Gigi, Vincente Minnelli, 1
1958(31st), Cat on a Hot Tin Roof, Richard Brooks, 0
1958(31st), The Defiant Ones, Stanley Kramer, 0
1958(31st), The Inn of the Sixth Happiness, Mark Robson, 0
1958(31st), I Want to Live!, Robert Wise, 0
1959(32nd), Ben-Hur, William Wyler, 1
1959(32nd), Room at the Top, Jack Clayton, 0
1959(32nd), The Diary of Anne Frank, George Stevens, 0
1959(32nd), Some Like It Hot, Billy Wilder, 0
1959(32nd), The Nun's Story, Fred Zinnemann, 0
1960(33rd), The Apartment, Billy Wilder, 1
1960(33rd), Sons and Lovers, Jack Cardiff, 0
1960(33rd), Never on Sunday, Jules Dassin, 0
1960(33rd), Psycho, Alfred Hitchcock, 0
1960(33rd), The Sundowners, Fred Zinnemann, 0
1961(34th), West Side Story, Jerome Robbins & Robert Wise, 1
1961(34th), La Dolce Vita, Federico Fellini, 0
1961(34th), Judgment at Nuremberg, Stanley Kramer, 0
1961(34th), The Hustler, Robert Rossen, 0
1961(34th), The Guns of Navarone, J. Lee Thompson, 0
1962(35th), Lawrence of Arabia, David Lean, 1
1962(35th), Divorce Italian Style, Pietro Germi, 0
1962(35th), To Kill a Mockingbird, Robert Mulligan, 0
1962(35th), The Miracle Worker, Arthur Penn, 0
1962(35th), David and Lisa, Frank Perry, 0
1963(36th), Tom Jones, Tony Richardson, 1
1963(36th), 8½, Federico Fellini, 0
1963(36th), America America, Elia Kazan, 0
1963(36th), The Cardinal, Otto Preminger, 0
1963(36th), Hud, Martin Ritt, 0
1964(37th), My Fair Lady, George Cukor, 1
1964(37th), Zorba the Greek, Michael Cacoyannis, 0
1964(37th), Becket, Peter Glenville, 0
1964(37th), Dr. Strangelove, Stanley Kubrick, 0
1964(37th), Mary Poppins, Robert Stevenson, 0
1965(38th), The Sound of Music, Robert Wise, 1
1965(38th), Doctor Zhivago, David Lean, 0
1965(38th), Darling, John Schlesinger, 0
1965(38th), Woman in the Dunes, Hiroshi Teshigahara, 0
1965(38th), The Collector, William Wyler, 0
1966(39th), A Man for All Seasons, Fred Zinnemann, 1
1966(39th), Blowup, Michelangelo Antonioni, 0
1966(39th), The Professionals, Richard Brooks, 0
1966(39th), A Man and a Woman, Claude Lelouch, 0
1966(39th), Who's Afraid of Virginia Woolf?, Mike Nichols, 0
1967(40th), The Graduate, Mike Nichols, 1
1967(40th), In Cold Blood, Richard Brooks, 0
1967(40th), In the Heat of the Night, Norman Jewison, 0
1967(40th), Guess Who's Coming to Dinner, Stanley Kramer, 0
1967(40th), Bonnie and Clyde, Arthur Penn, 0
1968(41st), Oliver!, Carol Reed, 1
1968(41st), The Lion in Winter, Anthony Harvey, 0
1968(41st), 2001: A Space Odyssey, Stanley Kubrick, 0
1968(41st), The Battle of Algiers, Gillo Pontecorvo, 0
1968(41st), Romeo and Juliet, Franco Zeffirelli, 0
1969(42nd), Midnight Cowboy, John Schlesinger, 1
1969(42nd), Z, Costa-Gavras, 0
1969(42nd), Butch Cassidy and the Sundance Kid, George Roy Hill, 0
1969(42nd), Alice's Restaurant, Arthur Penn, 0
1969(42nd), They Shoot Horses, Don't They?, Sydney Pollack, 0
1970(43rd), Patton, Franklin J. Schaffner, 1
1970(43rd), M*A*S*H, Robert Altman, 0
1970(43rd), Fellini Satyricon, Federico Fellini, 0
1970(43rd), Love Story, Arthur Hiller, 0
1970(43rd), Women in Love, Ken Russell, 0
1971(44th), The French Connection, William Friedkin, 1
1971(44th), The Last Picture Show, Peter Bogdanovich, 0
1971(44th), Fiddler on the Roof, Norman Jewison, 0
1971(44th), A Clockwork Orange, Stanley Kubrick, 0
1971(44th), Sunday Bloody Sunday, John Schlesinger, 0
1972(45th), Cabaret, Bob Fosse, 1
1972(45th), Deliverance, John Boorman, 0
1972(45th), The Godfather, Francis Ford Coppola, 0
1972(45th), Sleuth, Joseph L. Mankiewicz, 0
1972(45th), The Emigrants, Jan Troell, 0
1973(46th), The Sting, George Roy Hill, 1
1973(46th), Cries and Whispers, Ingmar Bergman, 0
1973(46th), Last Tango in Paris, Bernardo Bertolucci, 0
1973(46th), The Exorcist, William Friedkin, 0
1973(46th), American Graffiti, George Lucas, 0
1974(47th), The Godfather Part II, Francis Ford Coppola, 1
1974(47th), A Woman Under the Influence, John Cassavetes, 0
1974(47th), Lenny, Bob Fosse, 0
1974(47th), Chinatown, Roman Polanski, 0
1974(47th), Day for Night, François Truffaut, 0
1975(48th), One Flew Over the Cuckoo's Nest, Miloš Forman, 1
1975(48th), Nashville, Robert Altman, 0
1975(48th), Amarcord, Federico Fellini, 0
1975(48th), Barry Lyndon, Stanley Kubrick, 0
1975(48th), Dog Day Afternoon, Sidney Lumet, 0
1976(49th), Rocky, John G. Avildsen, 1
1976(49th), Face to Face, Ingmar Bergman, 0
1976(49th), Network, Sidney Lumet, 0
1976(49th), All the President's Men, Alan J. Pakula, 0
1976(49th), Seven Beauties, Lina Wertmüller, 0
1977(50th), Annie Hall, Woody Allen, 1
1977(50th), Star Wars, George Lucas, 0
1977(50th), The Turning Point, Herbert Ross, 0
1977(50th), Close Encounters of the Third Kind, Steven Spielberg, 0
1977(50th), Julia, Fred Zinnemann, 0
1978(51st), The Deer Hunter, Michael Cimino, 1
1978(51st), Interiors, Woody Allen, 0
1978(51st), Coming Home, Hal Ashby, 0
1978(51st), Heaven Can Wait, Warren Beatty & Buck Henry, 0
1978(51st), Midnight Express, Alan Parker, 0
1979(52nd), Kramer vs. Kramer, Robert Benton, 1
1979(52nd), Apocalypse Now, Francis Ford Coppola, 0
1979(52nd), All That Jazz, Bob Fosse, 0
1979(52nd), La Cage aux Folles, Édouard Molinaro, 0
1979(52nd), Breaking Away, Peter Yates, 0
1980(53rd), Ordinary People, Robert Redford, 1
1980(53rd), The Elephant Man, David Lynch, 0
1980(53rd), Tess, Roman Polanski, 0
1980(53rd), The Stunt Man, Richard Rush, 0
1980(53rd), Raging Bull, Martin Scorsese, 0
1981(54th), Reds, Warren Beatty, 1
1981(54th), Chariots of Fire, Hugh Hudson, 0
1981(54th), Atlantic City, Louis Malle, 0
1981(54th), On Golden Pond, Mark Rydell, 0
1981(54th), Raiders of the Lost Ark, Steven Spielberg, 0
1982(55th), Gandhi, Richard Attenborough, 1
1982(55th), The Verdict, Sidney Lumet, 0
1982(55th), Das Boot, Wolfgang Petersen, 0
1982(55th), Tootsie, Sydney Pollack, 0
1982(55th), E.T. the Extra-Terrestrial, Steven Spielberg, 0
1983(56th), Terms of Endearment, James L. Brooks, 1
1983(56th), Tender Mercies, Bruce Beresford, 0
1983(56th), Fanny and Alexander, Ingmar Bergman, 0
1983(56th), Silkwood, Mike Nichols, 0
1983(56th), The Dresser, Peter Yates, 0
1984(57th), Amadeus, Miloš Forman, 1
1984(57th), Broadway Danny Rose, Woody Allen, 0
1984(57th), Places in the Heart, Robert Benton, 0
1984(57th), The Killing Fields, Roland Joffé, 0
1984(57th), A Passage to India, David Lean, 0
1985(58th), Out of Africa, Sydney Pollack, 1
1985(58th), Kiss of the Spider Woman, Héctor Babenco, 0
1985(58th), Prizzi's Honor, John Huston, 0
1985(58th), Ran, Akira Kurosawa, 0
1985(58th), Witness, Peter Weir, 0
1986(59th), Platoon, Oliver Stone, 1
1986(59th), Hannah and Her Sisters, Woody Allen, 0
1986(59th), A Room with a View, James Ivory, 0
1986(59th), The Mission, Roland Joffé, 0
1986(59th), Blue Velvet, David Lynch, 0
1987(60th), The Last Emperor, Bernardo Bertolucci, 1
1987(60th), Hope and Glory, John Boorman, 0
1987(60th), My Life as a Dog, Lasse Hallström, 0
1987(60th), Moonstruck, Norman Jewison, 0
1987(60th), Fatal Attraction, Adrian Lyne, 0
1988(61st), Rain Man, Barry Levinson, 1
1988(61st), A Fish Called Wanda, Charles Crichton, 0
1988(61st), Working Girl, Mike Nichols, 0
1988(61st), Mississippi Burning, Alan Parker, 0
1988(61st), The Last Temptation of Christ, Martin Scorsese, 0
1989(62nd), Born on the Fourth of July, Oliver Stone, 1
1989(62nd), Crimes and Misdemeanors, Woody Allen, 0
1989(62nd), Henry V, Kenneth Branagh, 0
1989(62nd), My Left Foot, Jim Sheridan, 0
1989(62nd), Dead Poets Society, Peter Weir, 0
1990(63rd), Dances with Wolves, Kevin Costner, 1
1990(63rd), The Godfather Part III, Francis Ford Coppola, 0
1990(63rd), The Grifters, Stephen Frears, 0
1990(63rd), Reversal of Fortune, Barbet Schroeder, 0
1990(63rd), Goodfellas, Martin Scorsese, 0
1991(64th), The Silence of the Lambs, Jonathan Demme, 1
1991(64th), Bugsy, Barry Levinson, 0
1991(64th), Thelma & Louise, Ridley Scott, 0
1991(64th), Boyz n the Hood, John Singleton, 0
1991(64th), JFK, Oliver Stone, 0
1992(65th), Unforgiven, Clint Eastwood, 1
1992(65th), The Player, Robert Altman, 0
1992(65th), Scent of a Woman, Martin Brest, 0
1992(65th), Howards End, James Ivory, 0
1992(65th), The Crying Game, Neil Jordan, 0
1993(66th), Schindler's List, Steven Spielberg, 1
1993(66th), Short Cuts, Robert Altman, 0
1993(66th), The Piano, Jane Campion, 0
1993(66th), The Remains of the Day, James Ivory, 0
1993(66th), In the Name of the Father, Jim Sheridan, 0
1994(67th), Forrest Gump, Robert Zemeckis, 1
1994(67th), Bullets over Broadway, Woody Allen, 0
1994(67th), Three Colours: Red, Krzysztof Kieślowski, 0
1994(67th), Quiz Show, Robert Redford, 0
1994(67th), Pulp Fiction, Quentin Tarantino, 0
1995(68th), Braveheart, Mel Gibson, 1
1995(68th), Leaving Las Vegas, Mike Figgis, 0
1995(68th), Babe, Chris Noonan, 0
1995(68th), Il Postino: The Postman, Michael Radford, 0
1995(68th), Dead Man Walking, Tim Robbins, 0
1996(69th), The English Patient, Anthony Minghella, 1
1996(69th), Fargo, Joel Coen, 0
1996(69th), The People vs. Larry Flynt, Miloš Forman, 0
1996(69th), Shine, Scott Hicks, 0
1996(69th), Secrets & Lies, Mike Leigh, 0
1997(70th), Titanic, James Cameron, 1
1997(70th), The Full Monty, Peter Cattaneo, 0
1997(70th), The Sweet Hereafter, Atom Egoyan, 0
1997(70th), L.A. Confidential, Curtis Hanson, 0
1997(70th), Good Will Hunting, Gus Van Sant, 0
1998(71st), Saving Private Ryan, Steven Spielberg, 1
1998(71st), Life Is Beautiful, Roberto Benigni, 0
1998(71st), Shakespeare in Love, John Madden, 0
1998(71st), The Thin Red Line, Terrence Malick, 0
1998(71st), The Truman Show, Peter Weir, 0
1999(72nd), American Beauty, Sam Mendes, 1
1999(72nd), The Cider House Rules, Lasse Hallström, 0
1999(72nd), Being John Malkovich, Spike Jonze, 0
1999(72nd), The Insider, Michael Mann, 0
1999(72nd), The Sixth Sense, M. Night Shyamalan, 0
2000(73rd), Traffic, Steven Soderbergh, 1
2000(73rd), Billy Elliot, Stephen Daldry, 0
2000(73rd), Crouching Tiger, Hidden Dragon, Ang Lee, 0
2000(73rd), Gladiator, Ridley Scott, 0
2000(73rd), Erin Brockovich, Steven Soderbergh, 0
2001(74th), A Beautiful Mind, Ron Howard, 1
2001(74th), Gosford Park, Robert Altman, 0
2001(74th), The Lord of the Rings: The Fellowship of the Ring, Peter Jackson, 0
2001(74th), Mulholland Drive, David Lynch, 0
2001(74th), Black Hawk Down, Ridley Scott, 0
2002(75th), The Pianist, Roman Polanski, 1
2002(75th), Talk to Her, Pedro Almodóvar, 0
2002(75th), The Hours, Stephen Daldry, 0
2002(75th), Chicago, Rob Marshall, 0
2002(75th), Gangs of New York, Martin Scorsese, 0
2003(76th), The Lord of the Rings: The Return of the King, Peter Jackson, 1
2003(76th), Lost in Translation, Sofia Coppola, 0
2003(76th), Mystic River, Clint Eastwood, 0
2003(76th), City of God, Fernando Meirelles, 0
2003(76th), Master and Commander: The Far Side of the World, Peter Weir, 0
2004(77th), Million Dollar Baby, Clint Eastwood, 1
2004(77th), Ray, Taylor Hackford, 0
2004(77th), Vera Drake, Mike Leigh, 0
2004(77th), Sideways, Alexander Payne, 0
2004(77th), The Aviator, Martin Scorsese, 0
2005(78th), Brokeback Mountain, Ang Lee, 1
2005(78th), Good Night, and Good Luck, George Clooney, 0
2005(78th), Crash, Paul Haggis, 0
2005(78th), Capote, Bennett Miller, 0
2005(78th), Munich, Steven Spielberg, 0
2006(79th), The Departed, Martin Scorsese, 1
2006(79th), Letters from Iwo Jima, Clint Eastwood, 0
2006(79th), The Queen, Stephen Frears, 0
2006(79th), United 93, Paul Greengrass, 0
2006(79th), Babel, Alejandro González Iñárritu, 0
2007(80th), No Country for Old Men, Coen Brothers, 1
2007(80th), There Will Be Blood, Paul Thomas Anderson, 0
2007(80th), Michael Clayton, Tony Gilroy, 0
2007(80th), Juno, Jason Reitman, 0
2007(80th), The Diving Bell and the Butterfly, Julian Schnabel, 0
2008(81st), Slumdog Millionaire, Danny Boyle, 1
2008(81st), The Reader, Stephen Daldry, 0
2008(81st), The Curious Case of Benjamin Button, David Fincher, 0
2008(81st), Frost/Nixon, Ron Howard, 0
2008(81st), Milk, Gus Van Sant, 0
2009(82nd), The Hurt Locker, Kathryn Bigelow, 1
2009(82nd), Avatar, James Cameron, 0
2009(82nd), Precious, Lee Daniels, 0
2009(82nd), Up in the Air, Jason Reitman, 0
2009(82nd), Inglourious Basterds, Quentin Tarantino, 0
2010(83rd), The King's Speech, Tom Hooper, 1
2010(83rd), Black Swan, Darren Aronofsky, 0
2010(83rd), True Grit, Coen Brothers, 0
2010(83rd), The Social Network, David Fincher, 0
2010(83rd), The Fighter, David O. Russell, 0
2011(84th), The Artist, Michel Hazanavicius, 1
2011(84th), Midnight in Paris, Woody Allen, 0
2011(84th), The Tree of Life, Terrence Malick, 0
2011(84th), The Descendants, Alexander Payne, 0
2011(84th), Hugo, Martin Scorsese, 0
2012(85th), Life of Pi, Ang Lee, 1
2012(85th), Amour, Michael Haneke, 0
2012(85th), Silver Linings Playbook, David O. Russell, 0
2012(85th), Lincoln, Steven Spielberg, 0
2012(85th), Beasts of the Southern Wild, Benh Zeitlin, 0
2013(86th), Gravity, Alfonso Cuarón, 1
2013(86th), 12 Years a Slave, Steve McQueen, 0
2013(86th), Nebraska, Alexander Payne, 0
2013(86th), American Hustle, David O. Russell, 0
2013(86th), The Wolf of Wall Street, Martin Scorsese, 0
2014(87th), Birdman, Alejandro González Iñárritu, 1
2014(87th), The Grand Budapest Hotel, Wes Anderson, 0
2014(87th), Boyhood, Richard Linklater, 0
2014(87th), Foxcatcher, Bennett Miller, 0
2014(87th), The Imitation Game, Morten Tyldum, 0
2015 (88th), The Revenant, Alejandro González Iñárritu, 1
2015 (88th), Room, Lenny Abrahamson, 0
2015 (88th), Spotlight, Tom McCarthy, 0
2015 (88th), The Big Short, Adam McKay, 0
2015 (88th), Mad Max: Fury Road, George Miller, 0
2016 (89th), La La Land, Damien Chazelle, 1
2016 (89th), Hacksaw Ridge, Mel Gibson, 0
2016 (89th), Moonlight, Barry Jenkins, 0
2016 (89th), Manchester by the Sea, Kenneth Lonergan, 0
2016 (89th), Arrival, Denis Villeneuve, 0
2017 (90th), The Shape of Water, Guillermo del Toro, 1
2017 (90th), Phantom Thread, Paul Thomas Anderson, 0
2017 (90th), Lady Bird, Greta Gerwig, 0
2017 (90th), Dunkirk, Christopher Nolan, 0
2017 (90th), Get Out, Jordan Peele, 0
2018 (91st), Roma, Alfonso Cuarón, 1
2018 (91st), The Favourite, Yorgos Lanthimos, 0
2018 (91st), BlacKkKlansman, Spike Lee, 0
2018 (91st), Vice, Adam McKay, 0
2018 (91st), Cold War, Paweł Pawlikowski, 0
2019 (92nd), Parasite, Bong Joon-ho, 1
2019 (92nd), 1917, Sam Mendes, 0
2019 (92nd), Joker, Todd Phillips, 0
2019 (92nd), The Irishman, Martin Scorsese, 0
2019 (92nd), Once Upon a Time in Hollywood, Quentin Tarantino, 0
2020/21(93rd), Nomadland, Chloé Zhao, 1
2020/21(93rd), Minari, Lee Isaac Chung, 0
2020/21(93rd), Promising Young Woman, Emerald Fennell, 0
2020/21(93rd), Mank, David Fincher, 0
2020/21(93rd), Another Round, Thomas Vinterberg, 0
